GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
filterquerystringparser,default,Main,35,0,0,0,10,0,2,0,2,0
filterquerystringparser,nl.webflight.filterparser,BooleanExpression,5,13,0,0,2,5,2,3,2,3
filterquerystringparser,nl.webflight.filterparser,ComparisonOperator,0,90,0,0,0,12,0,3,0,3
filterquerystringparser,nl.webflight.filterparser,StringExpressionOperatorSetter,0,44,0,6,0,9,0,6,0,3
filterquerystringparser,nl.webflight.filterparser,OperatorValueExtractorImpl,0,7,0,0,0,3,0,3,0,3
filterquerystringparser,nl.webflight.filterparser,StringExpression,5,14,0,0,2,5,2,3,2,3
filterquerystringparser,nl.webflight.filterparser,DecimalExpressionOperatorSetter,0,7,0,0,0,4,0,2,0,2
filterquerystringparser,nl.webflight.filterparser,Expression,0,22,0,0,0,9,0,5,0,5
filterquerystringparser,nl.webflight.filterparser,IntegerExpressionOperatorSetter,0,7,0,0,0,4,0,2,0,2
filterquerystringparser,nl.webflight.filterparser,ExpressionType,0,44,0,0,0,5,0,1,0,1
filterquerystringparser,nl.webflight.filterparser,ExpressionBuilder,40,147,3,11,2,39,4,10,1,6
filterquerystringparser,nl.webflight.filterparser,IncompatibleExpressionException,4,0,0,0,2,0,1,0,1,0
filterquerystringparser,nl.webflight.filterparser,IntegerExpression,5,13,0,0,2,5,2,3,2,3
filterquerystringparser,nl.webflight.filterparser,LogicalOperator,0,30,0,0,0,7,0,3,0,3
filterquerystringparser,nl.webflight.filterparser,FilterPatternProvider,0,125,0,8,0,26,0,10,0,6
filterquerystringparser,nl.webflight.filterparser,UnparsableFilterExpressionException,0,4,0,0,0,2,0,1,0,1
filterquerystringparser,nl.webflight.filterparser,QueryFilterParser,0,21,0,0,0,7,0,2,0,2
filterquerystringparser,nl.webflight.filterparser,InvalidExpressionTypeException,0,4,0,0,0,2,0,1,0,1
filterquerystringparser,nl.webflight.filterparser,BooleanExpressionOperatorSetter,0,44,0,6,0,9,0,6,0,3
filterquerystringparser,nl.webflight.filterparser,DecimalExpression,5,13,0,0,2,5,2,3,2,3
filterquerystringparser,nl.webflight.filterparser,ExpressionCreatorImpl,0,68,0,8,0,12,0,7,0,3
filterquerystringparser,nl.webflight.filterparser,QueryFilterParserCreator,14,0,0,0,2,0,2,0,2,0
filterquerystringparser,nl.webflight.filterparser.mendix,QueryBuilderMendix,177,0,24,0,31,0,16,0,4,0
